edad_completa,edad,Mujeres,Hombres,Ambos sexos
Todas las edades,Total,908.59100000000001,997.83199999999999,952.31700000000001
Menores de 1 año (*),<1 año,234.63499999999999,274.47899999999998,255.202
De 1 a 4 años,1-4,11.331,13.103999999999999,12.243
De 5 a 9 años,5-9,7.6379999999999999,7.3559999999999999,7.4930000000000003
De 10 a 14 años,10-14,8.0120000000000005,8.9610000000000003,8.5020000000000007
De 15 a 19 años,15-19,11.195,24.009,17.817
De 20 a 24 años,20-24,16.210999999999999,41.106000000000002,29.021000000000001
De 25 a 29 años,25-29,16.966000000000001,46.719999999999999,32.067
De 30 a 34 años,30-34,26.891999999999999,61.649999999999999,44.314
De 35 a 39 años,35-39,43.314999999999998,78.287000000000006,60.682000000000002
De 40 a 44 años,40-44,63.332000000000001,115.15300000000001,89.292000000000002
De 45 a 49 años,45-49,106.791,189.01499999999999,148.21299999999999
De 50 a 54 años,50-54,183.27500000000001,350.19900000000001,266.64699999999999
De 55 a 59 años,55-59,284.44400000000002,619.07399999999996,449.291
De 60 a 64 años,60-64,449.17599999999999,1007.473,720.26599999999996
De 65 a 69 años,65-69,669.52200000000005,1550.271,1089.345
De 70 a 74 años,70-74,1042.4770000000001,2321.279,1634.4059999999999
De 75 a 79 años,75-79,1876.6300000000001,3710.5320000000002,2690.4810000000002
De 80 a 84 años,80-84,3906.7559999999999,6543.3860000000004,4986.8270000000002
De 85 a 89 años,85-89,8072.3410000000003,11717.585999999999,9410.4719999999998
De 90 a 94 años,90-94,15627.397999999999,20034.603999999999,17009.096000000001
De 95 años y más,95+,27826.804,30375.472000000002,28472.866000000002
